,ANO,MES,EMPRESA,ORIGEM,DESTINO,TARIFA,ASSENTOS,cidade_origem,UF_origem,lat_origem,lon_origem,cidade_destino,UF_destino,lat_destino,lon_destino,Sigla_origem,Reg_origem,Sigla_destino,Reg_destino,DISTANCIA
7647793,2020,10,GLO,SBFZ,SBSP,731.38,1,Fortaleza,Ceara,-3.7762799263,-38.5326004028,Sao Paulo,Sao-Paulo,-23.6261100769,-46.6563873291,CE,Nordeste,SP,Sudeste,2374.089921452531
5317055,2021,11,GLO,SBSV,SBBR,399.9,1,Salvador,Bahia,-12.9086112976,-38.3224983215,Brasilia,Federal-District,-15.8691673279,-47.9208335876,BA,Nordeste,DF,Centro-Oeste,1085.0934210184275
4402645,2019,7,GLO,SBPA,SBCT,176.78,20,Porto Alegre,Rio-Grande-do-Sul,-29.9944000244,-51.1713981628,Curitiba,Parana,-25.5284996033,-49.1758003235,RS,Sul,PR,Sul,534.1312499017771
1870712,2021,9,GLO,SBPA,SBSP,357.68,66,Porto Alegre,Rio-Grande-do-Sul,-29.9944000244,-51.1713981628,Sao Paulo,Sao-Paulo,-23.6261100769,-46.6563873291,RS,Sul,SP,Sudeste,838.0125574034981
6173318,2022,5,AZU,SBPA,SBPK,76.9,2,Porto Alegre,Rio-Grande-do-Sul,-29.9944000244,-51.1713981628,Pelotas,Rio-Grande-do-Sul,-31.7183990479,-52.3277015686,RS,Sul,RS,Sul,221.27005374767643
8526937,2020,12,TAM,SBTE,SBJV,760.0,1,Teresina,Piaui,-5.0599398613,-42.8235015869,Joinville,Santa Catarina,-26.2245006561,-48.7974014282,PI,Nordeste,SC,Sul,2438.3514342709113
10083248,2021,8,TAM,SBUL,SBGR,542.2,1,Uberlandia,Minas-Gerais,-18.8836116791,-48.225276947,Sao Paulo,Sao-Paulo,-23.4355564117,-46.4730567932,MG,Sudeste,SP,Sudeste,537.9243682804034
2436039,2019,9,AZU,SBBR,SBFZ,334.9,1,Brasilia,Federal-District,-15.8691673279,-47.9208335876,Fortaleza,Ceara,-3.7762799263,-38.5326004028,DF,Centro-Oeste,CE,Nordeste,1692.2268223621982
4757157,2019,2,GLO,SBSP,SBPS,1525.9,21,Sao Paulo,Sao-Paulo,-23.6261100769,-46.6563873291,Porto Seguro,Bahia,-16.4386005402,-39.0808982849,SP,Sudeste,BA,Nordeste,1124.5367998401834
13083710,2022,4,GLO,SBUL,SBGR,1250.01,4,Uberlandia,Minas-Gerais,-18.8836116791,-48.225276947,Sao Paulo,Sao-Paulo,-23.4355564117,-46.4730567932,MG,Sudeste,SP,Sudeste,537.9243682804034
6711878,2022,3,AZU,SBCF,SBSV,1669.9,3,Belo Horizonte,Minas-Gerais,-19.6244430542,-43.9719429016,Salvador,Bahia,-12.9086112976,-38.3224983215,MG,Sudeste,BA,Nordeste,959.8710662953627
12259923,2020,1,TAM,SBRJ,SBBV,1114.0,1,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,Boa Vista,Roraima,2.8413889408,-60.6922225952,RJ,Sudeste,RR,Norte,3438.2583201953985
7545502,2020,10,AZU,SBMQ,SBCH,529.9,1,Macapa,Amapa,0.0506640002,-51.0722007751,Chapeco,Santa Catarina,-27.1341991425,-52.6566009521,AP,Norte,SC,Sul,3028.5105547978765
11455802,2019,12,TAM,SBVT,SBUL,785.0,2,Vitoria,Espirito-Santo,-20.2580566406,-40.2863883972,Uberlandia,Minas-Gerais,-18.8836116791,-48.225276947,ES,Sudeste,MG,Sudeste,845.8543047650467
614803,2019,10,TAM,SBGR,SBSV,860.4,22,Sao Paulo,Sao-Paulo,-23.4355564117,-46.4730567932,Salvador,Bahia,-12.9086112976,-38.3224983215,SP,Sudeste,BA,Nordeste,1452.617903639832
670693,2019,10,TAM,SBTE,SBGL,758.0,1,Teresina,Piaui,-5.0599398613,-42.8235015869,Rio De Janeiro,Rio-de-Janeiro,-22.8099994659,-43.2505569458,PI,Nordeste,RJ,Sudeste,1974.8692701495927
10571748,2021,12,GLO,SBGO,SBRJ,523.9,2,Goiania,Goias,-16.6319999695,-49.2206993103,Rio De Janeiro,Rio-de-Janeiro,-22.9104995728,-43.1631011963,GO,Centro-Oeste,RJ,Sudeste,942.942427301433
10834206,2020,3,AZU,SBCP,SBGL,106.6,2,Campos Dos Goytacazes,Rio-de-Janeiro,-21.698299408,-41.301700592,Rio De Janeiro,Rio-de-Janeiro,-22.8099994659,-43.2505569458,RJ,Sudeste,RJ,Sudeste,235.66511490749633
1866646,2021,9,GLO,SBPA,SBFZ,748.51,2,Porto Alegre,Rio-Grande-do-Sul,-29.9944000244,-51.1713981628,Fortaleza,Ceara,-3.7762799263,-38.5326004028,RS,Sul,CE,Nordeste,3205.1176021269184
12483566,2020,11,AZU,SBCT,SBUL,284.9,1,Curitiba,Parana,-25.5284996033,-49.1758003235,Uberlandia,Minas-Gerais,-18.8836116791,-48.225276947,PR,Sul,MG,Sudeste,745.5525221065756
940954,2021,10,GLO,SBGO,SBBV,1099.9,8,Goiania,Goias,-16.6319999695,-49.2206993103,Boa Vista,Roraima,2.8413889408,-60.6922225952,GO,Centro-Oeste,RR,Norte,2506.0023387077968
